market,sampling_rate,sampling_label,model,seed,ARR,dqn_seed,source
ChiNext,0.69999999999999996,70%,LambdaRank,91,2.3326336551738782,,
ChiNext,0.69999999999999996,70%,LambdaRank,105,-0.5256060203094014,,
ChiNext,0.69999999999999996,70%,LambdaRank,107,-0.17580895347550285,,
ChiNext,0.69999999999999996,70%,LambdaRank,108,0.25970073087669543,,
ChiNext,0.69999999999999996,70%,LambdaRank,109,-0.28209897731280165,,
ChiNext,0.80000000000000004,80%,LTR-DQN,2,0.98495542985417517,2139072398,
ChiNext,0.80000000000000004,80%,LTR-DQN,14,1.0202155320270609,766766795,
ChiNext,0.80000000000000004,80%,LTR-DQN,18,0.070463398033038471,1470414819,
ChiNext,0.80000000000000004,80%,LTR-DQN,21,-0.1970976499337429,485206351,
ChiNext,0.80000000000000004,80%,LTR-DQN,22,-0.24354777143044992,461584368,
ChiNext,0.80000000000000004,80%,LTR-DQN,33,-0.16964378607871411,633485918,
ChiNext,0.80000000000000004,80%,LTR-DQN,46,9.2722072329955303,2011802943,
ChiNext,0.80000000000000004,80%,LTR-DQN,55,0.4580826298380718,1447564488,
ChiNext,0.80000000000000004,80%,LTR-DQN,56,-0.4858722308905038,117542725,
ChiNext,0.80000000000000004,80%,LTR-DQN,65,0.23299235284981012,1305035113,
ChiNext,0.80000000000000004,80%,LTR-DQN,74,1.0512842206030832,471932459,
ChiNext,0.80000000000000004,80%,LTR-DQN,76,-0.69242689232297017,1707810288,
ChiNext,0.80000000000000004,80%,LTR-DQN,77,0.23518787931140217,163678163,
ChiNext,0.80000000000000004,80%,LTR-DQN,83,0.090829711499545773,1008432661,
ChiNext,0.80000000000000004,80%,LTR-DQN,87,1.4195099382227503,427505193,
ChiNext,0.80000000000000004,80%,LTR-DQN,92,-0.099906415844993601,821113132,
ChiNext,0.80000000000000004,80%,LTR-DQN,94,-0.052808068837912114,872516818,
ChiNext,0.80000000000000004,80%,LTR-DQN,98,-0.29762959248992371,240450821,
ChiNext,0.80000000000000004,80%,LTR-DQN,102,0.20472036188525089,908436826,
ChiNext,0.80000000000000004,80%,LTR-DQN,103,-0.20315785623828453,342214061,
ChiNext,0.80000000000000004,80%,LambdaMART,2,0.70399775470319037,,
ChiNext,0.80000000000000004,80%,LambdaMART,14,1.3700589717878171,,
ChiNext,0.80000000000000004,80%,LambdaMART,18,0.20843157973801429,,
ChiNext,0.80000000000000004,80%,LambdaMART,21,-0.42380076554326895,,
ChiNext,0.80000000000000004,80%,LambdaMART,22,-0.54128114986758424,,
ChiNext,0.80000000000000004,80%,LambdaMART,33,-0.56844359427626356,,
ChiNext,0.80000000000000004,80%,LambdaMART,46,2.2898357962038256,,
ChiNext,0.80000000000000004,80%,LambdaMART,55,1.416733435393271,,
ChiNext,0.80000000000000004,80%,LambdaMART,56,-0.63540985422243557,,
ChiNext,0.80000000000000004,80%,LambdaMART,65,0.32455338253246913,,
ChiNext,0.80000000000000004,80%,LambdaMART,74,0.77310492482709514,,
ChiNext,0.80000000000000004,80%,LambdaMART,76,-0.74287251243850605,,
ChiNext,0.80000000000000004,80%,LambdaMART,77,0.30452166538769232,,
ChiNext,0.80000000000000004,80%,LambdaMART,83,0.10730557911019956,,
ChiNext,0.80000000000000004,80%,LambdaMART,87,2.6119229956856302,,
ChiNext,0.80000000000000004,80%,LambdaMART,92,-0.26500139791795652,,
ChiNext,0.80000000000000004,80%,LambdaMART,94,-0.4077542831325397,,
ChiNext,0.80000000000000004,80%,LambdaMART,98,-0.20543036510032697,,
