qid_date,funds,market,strategy,source_signature
20220830.0,816434.8280323789,Main,CSI 300 Index,16e3409dfe8376ad2b2c0d7cb75754fd7483db51a25d26a22e30f4ab745445d2
20220831.0,809409.4066137313,Main,CSI 300 Index,16e3409dfe8376ad2b2c0d7cb75754fd7483db51a25d26a22e30f4ab745445d2
20220901.0,805380.975889376,Main,CSI 300 Index,16e3409dfe8376ad2b2c0d7cb75754fd7483db51a25d26a22e30f4ab745445d2
20220902.0,803742.0255519124,Main,CSI 300 Index,16e3409dfe8376ad2b2c0d7cb75754fd7483db51a25d26a22e30f4ab745445d2
20220905.0,811118.7701613876,Main,CSI 300 Index,16e3409dfe8376ad2b2c0d7cb75754fd7483db51a25d26a22e30f4ab745445d2
20220906.0,811659.785995419,Main,CSI 300 Index,16e3409dfe8376ad2b2c0d7cb75754fd7483db51a25d26a22e30f4ab745445d2
20220907.0,808197.2454362847,Main,CSI 300 Index,16e3409dfe8376ad2b2c0d7cb75754fd7483db51a25d26a22e30f4ab745445d2
20220908.0,819427.1464550399,Main,CSI 300 Index,16e3409dfe8376ad2b2c0d7cb75754fd7483db51a25d26a22e30f4ab745445d2
20220909.0,822895.781685863,Main,CSI 300 Index,16e3409dfe8376ad2b2c0d7cb75754fd7483db51a25d26a22e30f4ab745445d2
20220913.0,813736.951031141,Main,CSI 300 Index,16e3409dfe8376ad2b2c0d7cb75754fd7483db51a25d26a22e30f4ab745445d2
20220914.0,806082.9415180786,Main,CSI 300 Index,16e3409dfe8376ad2b2c0d7cb75754fd7483db51a25d26a22e30f4ab745445d2
20220915.0,787180.2965323795,Main,CSI 300 Index,16e3409dfe8376ad2b2c0d7cb75754fd7483db51a25d26a22e30f4ab745445d2
20220916.0,786242.764746673,Main,CSI 300 Index,16e3409dfe8376ad2b2c0d7cb75754fd7483db51a25d26a22e30f4ab745445d2
20220919.0,787210.6295835803,Main,CSI 300 Index,16e3409dfe8376ad2b2c0d7cb75754fd7483db51a25d26a22e30f4ab745445d2
20220920.0,781386.0581525195,Main,CSI 300 Index,16e3409dfe8376ad2b2c0d7cb75754fd7483db51a25d26a22e30f4ab745445d2
20220921.0,774502.0470264738,Main,CSI 300 Index,16e3409dfe8376ad2b2c0d7cb75754fd7483db51a25d26a22e30f4ab745445d2
20220922.0,771835.4364632958,Main,CSI 300 Index,16e3409dfe8376ad2b2c0d7cb75754fd7483db51a25d26a22e30f4ab745445d2
20220923.0,767963.1381026136,Main,CSI 300 Index,16e3409dfe8376ad2b2c0d7cb75754fd7483db51a25d26a22e30f4ab745445d2
