market,sampling_rate,sampling_label,model,seed,ARR,dqn_seed,source,source_signature
Main,0.6,60%,LTR-DQN,64,1.9196582291796687,878068006.0,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.6,60%,LambdaMART,72,0.7146523192212777,,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.6,60%,LTR-DQN,72,1.2057422542220904,230686750.0,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.6,60%,LambdaMART,77,0.5539686680905347,,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.6,60%,LTR-DQN,77,1.685300716628444,559570462.0,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.6,60%,LambdaMART,79,1.1440672011642752,,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.6,60%,LTR-DQN,79,2.2992701637552755,1080031362.0,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.6,60%,LambdaMART,81,2.6444700667705185,,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.6,60%,LTR-DQN,81,2.0137446240424883,235690372.0,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.6,60%,LambdaMART,98,0.3810625821409972,,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.6,60%,LTR-DQN,98,0.7839540163255132,1287790002.0,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.6,60%,LambdaMART,107,1.2944129246478258,,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.6,60%,LTR-DQN,107,1.596211926179997,2124426311.0,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.7,70%,LambdaRank,6,1.8501205032297436,,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.7,70%,LambdaRank,12,0.11715878378368538,,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.7,70%,LambdaRank,15,-0.31596683638757683,,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.7,70%,LambdaRank,21,0.8654385785061429,,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.7,70%,LambdaRank,22,0.37995660316140234,,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
