market,broker_group,broker_column,broker_grouping_mode,n_reports,ARR,MDR,CR,SR,WR,source_signature
Main,96,broker_size,proxy,546,-0.29161335159949564,0.4015536442986017,-0.726212688491123,-0.5614525113363301,0.4725274725274725,a458acb654cefa4045dd122415cc23bb74d7eb0ad8c4d7bfe84d0b8ae337851e
Main,97,broker_size,proxy,902,0.014607516611784721,0.2013944432583743,0.07253187513741056,0.1646278603899151,0.48337028824833705,a458acb654cefa4045dd122415cc23bb74d7eb0ad8c4d7bfe84d0b8ae337851e
Main,98,broker_size,proxy,664,0.46193578225679577,0.335174671760545,1.378194181053189,1.3093579957108834,0.4924698795180723,a458acb654cefa4045dd122415cc23bb74d7eb0ad8c4d7bfe84d0b8ae337851e
Main,100,broker_size,proxy,1396,1.4948072478828345,0.16934405617969128,8.82704289483117,4.386885179874617,0.5100286532951289,a458acb654cefa4045dd122415cc23bb74d7eb0ad8c4d7bfe84d0b8ae337851e
Main,101,broker_size,proxy,2176,1.3443451606169838,0.35157866043695274,3.8237393559273207,3.573971177871244,0.5013786764705882,a458acb654cefa4045dd122415cc23bb74d7eb0ad8c4d7bfe84d0b8ae337851e
Main,103,broker_size,proxy,373,-0.36438724694051716,0.3249643632494678,-1.1213144829077313,-0.8164914766857849,0.4289544235924933,a458acb654cefa4045dd122415cc23bb74d7eb0ad8c4d7bfe84d0b8ae337851e
Main,104,broker_size,proxy,1061,0.4264817775163736,0.1978513426712307,2.155566759155422,1.4284986798441754,0.5023562676720076,a458acb654cefa4045dd122415cc23bb74d7eb0ad8c4d7bfe84d0b8ae337851e
Main,105,broker_size,proxy,1232,-0.054112375393676526,0.3068926185587338,-0.17632348294268402,-0.08850849182175238,0.4805194805194805,a458acb654cefa4045dd122415cc23bb74d7eb0ad8c4d7bfe84d0b8ae337851e
Main,107,broker_size,proxy,1519,-0.07475456482405152,0.33253715557708974,-0.2248006382755075,-0.12652125884918494,0.46346280447662935,a458acb654cefa4045dd122415cc23bb74d7eb0ad8c4d7bfe84d0b8ae337851e
Main,108,broker_size,proxy,891,1.0444439581108522,0.21476238573374554,4.863253658420964,3.3079084971075514,0.5297418630751964,a458acb654cefa4045dd122415cc23bb74d7eb0ad8c4d7bfe84d0b8ae337851e
Main,109,broker_size,proxy,2144,0.6279349682591868,0.38042995033094384,1.6505928823767246,1.823543802337929,0.5153917910447762,a458acb654cefa4045dd122415cc23bb74d7eb0ad8c4d7bfe84d0b8ae337851e
Main,110,broker_size,proxy,1452,1.099504856310205,0.14138781520522375,7.776517762257511,4.014729130371589,0.5172176308539945,a458acb654cefa4045dd122415cc23bb74d7eb0ad8c4d7bfe84d0b8ae337851e
Main,111,broker_size,proxy,941,0.08087310268907832,0.26691714551785556,0.30298953831599507,0.3633919637806313,0.45483528161530284,a458acb654cefa4045dd122415cc23bb74d7eb0ad8c4d7bfe84d0b8ae337851e
Main,112,broker_size,proxy,612,0.6035873570800883,0.17887639524774127,3.374326479713147,1.8276590134753012,0.4673202614379085,a458acb654cefa4045dd122415cc23bb74d7eb0ad8c4d7bfe84d0b8ae337851e
Main,113,broker_size,proxy,666,0.13442540056072616,0.24505669626489113,0.5485481629745821,0.5114761903209568,0.47897897897897895,a458acb654cefa4045dd122415cc23bb74d7eb0ad8c4d7bfe84d0b8ae337851e
Main,114,broker_size,proxy,1257,0.8375152904414431,0.30197832691955706,2.773428474105514,2.3517781944212803,0.5027844073190135,a458acb654cefa4045dd122415cc23bb74d7eb0ad8c4d7bfe84d0b8ae337851e
Main,116,broker_size,proxy,2296,1.007061692460153,0.22472348229486666,4.481337162347618,2.9591379956183954,0.5130662020905923,a458acb654cefa4045dd122415cc23bb74d7eb0ad8c4d7bfe84d0b8ae337851e
Main,118,broker_size,proxy,287,0.15852889457363317,0.21668052762019357,0.7316250163997619,0.5648693773693001,0.47038327526132406,a458acb654cefa4045dd122415cc23bb74d7eb0ad8c4d7bfe84d0b8ae337851e
Main,119,broker_size,proxy,1424,3.694680099233161,0.182392766957974,20.25672487376909,10.012579517389705,0.5400280898876404,a458acb654cefa4045dd122415cc23bb74d7eb0ad8c4d7bfe84d0b8ae337851e
Main,120,broker_size,proxy,1653,1.8770200074176375,0.1753157988175161,10.706508027672982,5.361954767799181,0.5087719298245614,a458acb654cefa4045dd122415cc23bb74d7eb0ad8c4d7bfe84d0b8ae337851e
Main,121,broker_size,proxy,1783,0.6385064505944167,0.24711574990800234,2.583835513649468,1.8341976950349947,0.5047672462142456,a458acb654cefa4045dd122415cc23bb74d7eb0ad8c4d7bfe84d0b8ae337851e
Main,123,broker_size,proxy,1756,0.058361294958978016,0.23558942155957646,0.24772459889171833,0.2785292253323657,0.4886104783599089,a458acb654cefa4045dd122415cc23bb74d7eb0ad8c4d7bfe84d0b8ae337851e
Main,124,broker_size,proxy,1693,0.05034636698287054,0.3729116123773091,0.13500884743683036,0.2638774388108317,0.5239220318960425,a458acb654cefa4045dd122415cc23bb74d7eb0ad8c4d7bfe84d0b8ae337851e
Main,126,broker_size,proxy,1704,0.08466343261375542,0.4314542486394227,0.19622806561933012,0.3703949094360865,0.4782863849765258,a458acb654cefa4045dd122415cc23bb74d7eb0ad8c4d7bfe84d0b8ae337851e
Main,132,broker_size,proxy,1331,1.3885894730490307,0.269672923358704,5.149161642757904,3.7423222947787926,0.49812171299774605,a458acb654cefa4045dd122415cc23bb74d7eb0ad8c4d7bfe84d0b8ae337851e
Main,133,broker_size,proxy,907,1.9411141875860891,0.1689632615773505,11.488380192622271,5.331571799740845,0.5082690187431091,a458acb654cefa4045dd122415cc23bb74d7eb0ad8c4d7bfe84d0b8ae337851e
Main,136,broker_size,proxy,2029,2.1345587135905117,0.21245298037740248,10.047205314788577,5.908235417603146,0.5027106949236076,a458acb654cefa4045dd122415cc23bb74d7eb0ad8c4d7bfe84d0b8ae337851e
Main,137,broker_size,proxy,593,-0.06593351682399895,0.2508948497304769,-0.2627934247946016,-0.10930646215061293,0.4974704890387858,a458acb654cefa4045dd122415cc23bb74d7eb0ad8c4d7bfe84d0b8ae337851e
Main,138,broker_size,proxy,126,0.699847196712573,0.08021184655931973,8.72498548197627,2.4271703050288345,0.5476190476190477,a458acb654cefa4045dd122415cc23bb74d7eb0ad8c4d7bfe84d0b8ae337851e
Main,139,broker_size,proxy,669,0.07416734585342022,0.24718460563720107,0.3000484017288579,0.32857942132775003,0.5052316890881914,a458acb654cefa4045dd122415cc23bb74d7eb0ad8c4d7bfe84d0b8ae337851e
Main,141,broker_size,proxy,5113,0.20822616497117052,0.446605593568276,0.46624173089166066,0.7327005244399949,0.4819088597692157,a458acb654cefa4045dd122415cc23bb74d7eb0ad8c4d7bfe84d0b8ae337851e
Main,142,broker_size,proxy,1746,2.848785287790667,0.1271960212488377,22.39681131391285,9.835083110731235,0.5097365406643757,a458acb654cefa4045dd122415cc23bb74d7eb0ad8c4d7bfe84d0b8ae337851e
Main,144,broker_size,proxy,1121,-0.314025274960395,0.3452509828462693,-0.9095564982076293,-0.8103790719787127,0.4513826940231936,a458acb654cefa4045dd122415cc23bb74d7eb0ad8c4d7bfe84d0b8ae337851e
Main,145,broker_size,proxy,2051,0.604394991226596,0.4345850201137646,1.3907405070436596,1.789731531628779,0.4680643588493418,a458acb654cefa4045dd122415cc23bb74d7eb0ad8c4d7bfe84d0b8ae337851e
Main,146,broker_size,proxy,1150,-0.05741935765348016,0.3381936959165793,-0.16978246001262998,-0.03054154311800581,0.4547826086956522,a458acb654cefa4045dd122415cc23bb74d7eb0ad8c4d7bfe84d0b8ae337851e
Main,148,broker_size,proxy,1128,4.236332996150438,0.19688587864442933,21.516692945770593,10.975961287677936,0.5070921985815603,a458acb654cefa4045dd122415cc23bb74d7eb0ad8c4d7bfe84d0b8ae337851e
Main,149,broker_size,proxy,1107,3.5193873427291953,0.1304854235059176,26.971498027667348,9.781795843388803,0.5401987353206865,a458acb654cefa4045dd122415cc23bb74d7eb0ad8c4d7bfe84d0b8ae337851e
Main,152,broker_size,proxy,821,0.6988862787644112,0.309888593001485,2.255282364527248,2.1078717404694904,0.48721071863581,a458acb654cefa4045dd122415cc23bb74d7eb0ad8c4d7bfe84d0b8ae337851e
Main,157,broker_size,proxy,1914,2.7301209085759828,0.202560664618211,13.478040831480042,8.067055175154112,0.5041797283176593,a458acb654cefa4045dd122415cc23bb74d7eb0ad8c4d7bfe84d0b8ae337851e
Main,159,broker_size,proxy,1705,-0.34859698422982,0.34662559705942886,-1.0056873675432954,-0.9210615254000127,0.4310850439882698,a458acb654cefa4045dd122415cc23bb74d7eb0ad8c4d7bfe84d0b8ae337851e
Main,164,broker_size,proxy,1099,-0.08585017868330236,0.3572157238610293,-0.2403314662506329,-0.07654657293111522,0.4658780709736124,a458acb654cefa4045dd122415cc23bb74d7eb0ad8c4d7bfe84d0b8ae337851e
Main,165,broker_size,proxy,101,0.08282138881989409,0.15174193471176384,0.5458042233164788,0.3537257078899875,0.45544554455445546,a458acb654cefa4045dd122415cc23bb74d7eb0ad8c4d7bfe84d0b8ae337851e
Main,166,broker_size,proxy,1052,3.4725452530797476,0.14695524951117325,23.629950373536836,10.1908821221921,0.5370722433460076,a458acb654cefa4045dd122415cc23bb74d7eb0ad8c4d7bfe84d0b8ae337851e
Main,167,broker_size,proxy,1580,1.6291034572488359,0.18629204915509787,8.744889890027041,4.951673816165436,0.5177215189873418,a458acb654cefa4045dd122415cc23bb74d7eb0ad8c4d7bfe84d0b8ae337851e
Main,175,broker_size,proxy,138,-0.7554566089306634,0.09860535398335861,-7.661415718442226,-1.8147022652679965,0.5507246376811594,a458acb654cefa4045dd122415cc23bb74d7eb0ad8c4d7bfe84d0b8ae337851e
Main,179,broker_size,proxy,121,0.024270708988010092,0.14285517196000613,0.16989730686688012,0.2016076296696886,0.5537190082644629,a458acb654cefa4045dd122415cc23bb74d7eb0ad8c4d7bfe84d0b8ae337851e
Main,189,broker_size,proxy,169,1.6266540789668218,0.03333195154703954,48.80164537234536,7.3009915167508455,0.48520710059171596,a458acb654cefa4045dd122415cc23bb74d7eb0ad8c4d7bfe84d0b8ae337851e
